t_readout_s,T_K,P_err_default,P_err_small_barrier
5.849561e-09,0.82329,5.000000e-01,4.591441e-01
5.849561e-09,1.00411,5.000000e-01,4.165739e-01
5.849561e-09,1.18493,5.000000e-01,3.667915e-01
5.849561e-09,1.36575,5.000000e-01,3.166035e-01
5.849561e-09,1.54658,5.000000e-01,2.703197e-01
5.849561e-09,1.72740,5.000000e-01,2.299601e-01
5.849561e-09,1.90822,5.000000e-01,1.960678e-01
5.849561e-09,2.08904,5.000000e-01,1.684125e-01
5.849561e-09,2.26986,5.000000e-01,1.464364e-01
5.849561e-09,2.45068,4.999998e-01,1.294909e-01
5.849561e-09,2.63151,4.999994e-01,1.169449e-01
5.849561e-09,2.81233,4.999984e-01,1.082251e-01
5.849561e-09,2.99315,4.999963e-01,1.028234e-01
5.849561e-09,3.17397,4.999919e-01,1.002924e-01
5.849561e-09,3.35479,4.999839e-01,1.002363e-01
5.849561e-09,3.53562,4.999700e-01,1.023033e-01
5.849561e-09,3.71644,4.999476e-01,1.061787e-01
5.849561e-09,3.89726,4.999130e-01,1.115798e-01
5.849561e-09,4.07808,4.998620e-01,1.182529e-01
5.849561e-09,4.25890,4.997895e-01,1.259704e-01
5.849561e-09,4.43973,4.996898e-01,1.345289e-01
5.849561e-09,4.62055,4.995566e-01,1.437475e-01
5.849561e-09,4.80137,4.993832e-01,1.534666e-01
5.849561e-09,4.98219,4.991625e-01,1.635458e-01
5.849561e-09,5.16301,4.988873e-01,1.738633e-01
5.849561e-09,5.34384,4.985502e-01,1.843137e-01
5.849561e-09,5.52466,4.981440e-01,1.948073e-01
5.849561e-09,5.70548,4.976615e-01,2.052677e-01
5.849561e-09,5.88630,4.970962e-01,2.156314e-01
5.849561e-09,6.06712,4.964417e-01,2.258457e-01
5.849561e-09,6.24795,4.956923e-01,2.358678e-01
5.849561e-09,6.42877,4.948427e-01,2.456636e-01
5.849561e-09,6.60959,4.938885e-01,2.552063e-01
5.849561e-09,6.79041,4.928259e-01,2.644758e-01
5.849561e-09,6.97123,4.916518e-01,2.734573e-01
5.849561e-09,7.15205,4.903639e-01,2.821409e-01
5.849561e-09,7.33288,4.889606e-01,2.905208e-01
5.849561e-09,7.51370,4.874410e-01,2.985942e-01
5.849561e-09,7.69452,4.858051e-01,3.063614e-01
5.849561e-09,7.87534,4.840536e-01,3.138249e-01
5.849561e-09,8.05616,4.821877e-01,3.209891e-01
5.849561e-09,8.23699,4.802093e-01,3.278597e-01
5.849561e-09,8.41781,4.781210e-01,3.344437e-01
5.849561e-09,8.59863,4.759260e-01,3.407489e-01
5.849561e-09,8.77945,4.736278e-01,3.467840e-01
5.849561e-09,8.96027,4.712306e-01,3.525580e-01
5.849561e-09,9.14110,4.687389e-01,3.580800e-01
5.849561e-09,9.32192,4.661575e-01,3.633597e-01
5.849561e-09,9.50274,4.634917e-01,3.684065e-01
5.849561e-09,9.68356,4.607469e-01,3.732299e-01
5.849561e-09,9.86438,4.579288e-01,3.778395e-01
7.851944e-09,0.10000,5.000000e-01,5.000000e-01
7.851944e-09,0.28082,5.000000e-01,4.999838e-01
7.851944e-09,0.46164,5.000000e-01,4.979206e-01
7.851944e-09,0.64247,5.000000e-01,4.828967e-01
7.851944e-09,0.82329,5.000000e-01,4.459398e-01
7.851944e-09,1.00411,5.000000e-01,3.913400e-01
7.851944e-09,1.18493,5.000000e-01,3.298855e-01
7.851944e-09,1.36575,5.000000e-01,2.707724e-01
7.851944e-09,1.54658,5.000000e-01,2.190652e-01
7.851944e-09,1.72740,5.000000e-01,1.764790e-01
7.851944e-09,1.90822,5.000000e-01,1.428474e-01
7.851944e-09,2.08904,5.000000e-01,1.172159e-01
7.851944e-09,2.26986,4.999999e-01,9.844306e-02
7.851944e-09,2.45068,4.999998e-01,8.546180e-02
7.851944e-09,2.63151,4.999992e-01,7.736008e-02
7.851944e-09,2.81233,4.999979e-01,7.338136e-02
7.851944e-09,2.99315,4.999950e-01,7.289762e-02
7.851944e-09,3.17397,4.999891e-01,7.537903e-02
7.851944e-09,3.35479,4.999783e-01,8.036880e-02
7.851944e-09,3.53562,4.999598e-01,8.746516e-02
7.851944e-09,3.71644,4.999297e-01,9.630961e-02
7.851944e-09,3.89726,4.998832e-01,1.065798e-01
7.851944e-09,4.07808,4.998147e-01,1.179853e-01
7.851944e-09,4.25890,4.997174e-01,1.302654e-01
7.851944e-09,4.43973,4.995836e-01,1.431876e-01
7.851944e-09,4.62055,4.994049e-01,1.565466e-01
7.851944e-09,4.80137,4.991722e-01,1.701627e-01
7.851944e-09,4.98219,4.988762e-01,1.838811e-01
7.851944e-09,5.16301,4.985070e-01,1.975698e-01
7.851944e-09,5.34384,4.980549e-01,2.111183e-01
7.851944e-09,5.52466,4.975102e-01,2.244355e-01
7.851944e-09,5.70548,4.968636e-01,2.374478e-01
7.851944e-09,5.88630,4.961062e-01,2.500973e-01
7.851944e-09,6.06712,4.952296e-01,2.623396e-01
7.851944e-09,6.24795,4.942265e-01,2.741425e-01
7.851944e-09,6.42877,4.930900e-01,2.854838e-01
7.851944e-09,6.60959,4.918144e-01,2.963498e-01
7.851944e-09,6.79041,4.903949e-01,3.067343e-01
7.851944e-09,6.97123,4.888278e-01,3.166368e-01
7.851944e-09,7.15205,4.871105e-01,3.260619e-01
7.851944e-09,7.33288,4.852412e-01,3.350177e-01
7.851944e-09,7.51370,4.832195e-01,3.435157e-01
7.851944e-09,7.69452,4.810458e-01,3.515696e-01
7.851944e-09,7.87534,4.787216e-01,3.591948e-01
7.851944e-09,8.05616,4.762494e-01,3.664077e-01
7.851944e-09,8.23699,4.736326e-01,3.732259e-01
7.851944e-09,8.41781,4.708752e-01,3.796671e-01
7.851944e-09,8.59863,4.679823e-01,3.857492e-01
7.851944e-09,8.77945,4.649597e-01,3.914902e-01
7.851944e-09,8.96027,4.618137e-01,3.969076e-01
7.851944e-09,9.14110,4.585511e-01,4.020188e-01
7.851944e-09,9.32192,4.551795e-01,4.068403e-01
7.851944e-09,9.50274,4.517066e-01,4.113885e-01
7.851944e-09,9.68356,4.481407e-01,4.156788e-01
7.851944e-09,9.86438,4.444903e-01,4.197260e-01
1.053977e-08,0.10000,5.000000e-01,5.000000e-01
1.053977e-08,0.28082,5.000000e-01,4.999782e-01
1.053977e-08,0.46164,5.000000e-01,4.972108e-01
1.053977e-08,0.64247,5.000000e-01,4.771774e-01
1.053977e-08,0.82329,5.000000e-01,4.288105e-01
1.053977e-08,1.00411,5.000000e-01,3.598545e-01
1.053977e-08,1.18493,5.000000e-01,2.861174e-01
1.053977e-08,1.36575,5.000000e-01,2.195190e-01
1.053977e-08,1.54658,5.000000e-01,1.652636e-01
1.053977e-08,1.72740,5.000000e-01,1.239148e-01
1.053977e-08,1.90822,5.000000e-01,9.394814e-02
1.053977e-08,2.08904,5.000000e-01,7.333303e-02
1.053977e-08,2.26986,4.999999e-01,6.022506e-02
1.053977e-08,2.45068,4.999997e-01,5.315641e-02
1.053977e-08,2.63151,4.999990e-01,5.101287e-02
1.053977e-08,2.81233,4.999972e-01,5.294766e-02
1.053977e-08,2.99315,4.999933e-01,5.829594e-02
1.053977e-08,3.17397,4.999854e-01,6.650957e-02
1.053977e-08,3.35479,4.999709e-01,7.711427e-02
1.053977e-08,3.53562,4.999460e-01,8.968455e-02
1.053977e-08,3.71644,4.999056e-01,1.038310e-01
1.053977e-08,3.89726,4.998433e-01,1.191954e-01
1.053977e-08,4.07808,4.997513e-01,1.354496e-01
1.053977e-08,4.25890,4.996207e-01,1.522967e-01
1.053977e-08,4.43973,4.994411e-01,1.694722e-01
1.053977e-08,4.62055,4.992013e-01,1.867445e-01
1.053977e-08,4.80137,4.988892e-01,2.039152e-01
1.053977e-08,4.98219,4.984921e-01,2.208182e-01
1.053977e-08,5.16301,4.979970e-01,2.373174e-01
1.053977e-08,5.34384,4.973908e-01,2.533051e-01
1.053977e-08,5.52466,4.966608e-01,2.686989e-01
1.053977e-08,5.70548,4.957946e-01,2.834389e-01
1.053977e-08,5.88630,4.947804e-01,2.974848e-01
1.053977e-08,6.06712,4.936074e-01,3.108127e-01
1.053977e-08,6.24795,4.922659e-01,3.234129e-01
1.053977e-08,6.42877,4.907474e-01,3.352867e-01
1.053977e-08,6.60959,4.890445e-01,3.464448e-01
1.053977e-08,6.79041,4.871514e-01,3.569050e-01
